Da­tum,Wie­der­ga­be­zeit (Stun­den)
2020-09-21,32.789
2020-09-22,35.752
2020-09-23,27.2727
2020-09-24,19.1196
2020-09-25,19.7546
2020-09-26,13.1122
2020-09-27,18.2067
2020-09-28,20.816
2020-09-29,19.013
2020-09-30,13.6385
2020-10-01,13.6154
2020-10-02,11.9006
2020-10-03,15.3977
2020-10-04,13.8483
2020-10-05,20.4708
2020-10-06,16.4189
2020-10-07,17.1863
2020-10-08,12.748
2020-10-09,13.6184
2020-10-10,12.4971
2020-10-11,15.7708
2020-10-12,18.3768
2020-10-13,18.2327
2020-10-14,18.7255
2020-10-15,14.4555
2020-10-16,12.6272
2020-10-17,14.974
2020-10-18,17.016
2020-10-19,15.7546
2020-10-20,15.5728
2020-10-21,17.5871
2020-10-22,17.9155
2020-10-23,12.7298
2020-10-24,15.2099
2020-10-25,15.6066
2020-10-26,15.1285
2020-10-27,14.4499
2020-10-28,12.5111
2020-10-29,14.3673
2020-10-30,8.3312
2020-10-31,7.6779
2020-11-01,10.5555
2020-11-02,13.4541
2020-11-03,14.1413
2020-11-04,12.5628
2020-11-05,15.7683
2020-11-06,10.7874
2020-11-07,8.9804
2020-11-08,15.5224
2020-11-09,15.7824
2020-11-10,18.968
2020-11-11,20.3834
2020-11-12,17.878
2020-11-13,14.5103
2020-11-14,14.6111
2020-11-15,22.6641
2020-11-16,24.6075
2020-11-17,24.1917
2020-11-18,19.0127
2020-11-19,23.014
2020-11-20,19.7016
2020-11-21,21.9247
2020-11-22,28.8828
2020-11-23,23.7944
2020-11-24,24.5776
2020-11-25,21.9771
2020-11-26,23.0909
2020-11-27,19.9556
2020-11-28,17.4221
2020-11-29,28.119
2020-11-30,27.4158
2020-12-01,30.5284
2020-12-02,35.3329
2020-12-03,28.0787
2020-12-04,21.3807
2020-12-05,16.2302
2020-12-06,21.833
2020-12-07,33.621
2020-12-08,31.3734
2020-12-09,26.8551
2020-12-10,28.0877
2020-12-11,22.8238
2020-12-12,25.8163
2020-12-13,29.0754
2020-12-14,30.4863
2020-12-15,32.7308
2020-12-16,34.4118
2020-12-17,26.4015
2020-12-18,17.6932
2020-12-19,16.3286
2020-12-20,17.5744
2020-12-21,17.5487
2020-12-22,16.626
2020-12-23,10.7066
2020-12-24,5.0248
2020-12-25,4.7894
2020-12-26,10.8975
2020-12-27,12.6877
2020-12-28,18.4072
2020-12-29,15.8985
2020-12-30,17.8738
2020-12-31,7.9948
2021-01-01,13.5289
2021-01-02,21.2554
2021-01-03,25.4279
2021-01-04,36.395
2021-01-05,30.7278
2021-01-06,33.3426
2021-01-07,34.7138
2021-01-08,28.3053
2021-01-09,37.8445
2021-01-10,41.676
2021-01-11,40.9237
2021-01-12,40.9058
2021-01-13,43.3053
2021-01-14,36.8455
2021-01-15,31.747
2021-01-16,29.281
2021-01-17,33.4287
2021-01-18,50.2391
2021-01-19,47.9597
2021-01-20,46.011
2021-01-21,47.6709
2021-01-22,39.6795
2021-01-23,45.8791
2021-01-24,55.5852
2021-01-25,54.408
2021-01-26,59.0772
2021-01-27,55.3048
2021-01-28,47.9374
2021-01-29,43.4368
2021-01-30,44.044
2021-01-31,57.0295
2021-02-01,52.6552
2021-02-02,48.4979
2021-02-03,57.24
2021-02-04,60.5839
2021-02-05,40.3404
2021-02-06,49.6501
2021-02-07,54.8714
2021-02-08,51.3321
2021-02-09,51.819
2021-02-10,52.3685
2021-02-11,54.2052
2021-02-12,45.8131
2021-02-13,43.3835
2021-02-14,45.8653
2021-02-15,68.9395
2021-02-16,55.4165
2021-02-17,55.3827
2021-02-18,43.7508
2021-02-19,35.7712
2021-02-20,37.3712
2021-02-21,45.1447
2021-02-22,49.0648
2021-02-23,44.0828
2021-02-24,40.2781
2021-02-25,39.4457
2021-02-26,33.767
2021-02-27,42.5932
2021-02-28,49.4766
2021-03-01,48.9668
2021-03-02,45.112
2021-03-03,41.6658
2021-03-04,31.0726
2021-03-05,16.8395
2021-03-06,17.599
2021-03-07,21.5519
2021-03-08,25.8667
2021-03-09,26.3051
2021-03-10,18.9148
2021-03-11,21.0696
2021-03-12,14.9135
2021-03-13,20.2141
2021-03-14,26.186
2021-03-15,20.9909
2021-03-16,24.4886
2021-03-17,22.1957
2021-03-18,18.6188
2021-03-19,17.4834
2021-03-20,16.4992
2021-03-21,21.435
2021-03-22,24.7913
2021-03-23,25.8368
2021-03-24,25.325
2021-03-25,18.5814
2021-03-26,14.9763
2021-03-27,17.4898
2021-03-28,13.2561
2021-03-29,27.9092
2021-03-30,15.0962
2021-03-31,12.2667
2021-04-01,10.5492
2021-04-02,10.6154
2021-04-03,13.9005
2021-04-04,11.558
2021-04-05,15.3208
2021-04-06,17.2258
2021-04-07,20.5241
2021-04-08,14.9637
2021-04-09,8.7674
2021-04-10,14.272
2021-04-11,15.2426
2021-04-12,15.4228
2021-04-13,16.9693
2021-04-14,14.4576
2021-04-15,12.4484
2021-04-16,10.7894
2021-04-17,12.7649
2021-04-18,14.7496
2021-04-19,15.6757
2021-04-20,14.466
